satellite_name,norad_id,C_pR_pR,C_pI_pI,C_pC_pC,radial_outlier,in-track_outlier,cross-track_outlier
COSMOS 2457 [GLONASS-M],09070B,0.0063833371808532,0.059526281536714,0.0010909643724868,0,0,0
YAOGAN-8,09072A,0.0004725564489266,0.0625806360244049,0.0009979148944345,0,0,0
XIWANG-1 (HOPE-1),09072B,3.220083836525509e-06,0.2344957249821264,0.0047839866670891,0,0,0
DIRECTV 12,09075A,0.012219479341433751,38.125830012813886,0.01901756128441395,1,0,1
BEIDOU-2 G1,10001A,0.0217287258953346,3.2500252313166467,0.0014267050406372,0,0,0
SDO,10005A,0.002617760164577,0.0115431140986502,0.0125405088636014,0,0,0
INTELSAT 16 (IS-16),10006A,0.012219479341433751,31.43097070765311,0.01901756128441395,1,0,1
COSMOS 2460 [GLONASS-M],10007C,0.0002716001309496,0.0077085654474103,0.0015349838389525,0,0,0
EWS-G2 (GOES 15),10008A,0.027493230157327,4.295711050885558,0.0043514755072643,0,0,0
YAOGAN-9 01A,10009A,0.0059269524367915,0.0003069702860159,0.0048354183816293,0,0,0
YAOGAN-9 01B,10009B,0.0059342083372893,0.00038347290731,0.005033897327585,0,0,0
YAOGAN-9 01C,10009C,0.0057280478455523,0.0050029874812549,0.005307214034658,0,0,0
ECHOSTAR 14,10010A,0.012219479341433751,4.110804141278574,0.01901756128441395,1,0,1
CRYOSAT 2,10013A,0.0130686675218781,0.0031226111920956,3.797449777107809e-06,0,0,0
SES-1,10016A,0.0054123455318844,1.3381973572150507,0.0210189264861411,0,0,0
COSMOS 2463,10017A,0.0003892142027187,0.002428557807996,1.1905780595994434e-05,0,0,0
